name,wikipediaURL,latitude,longitude,inhabitationStart,inhabitationEnd,maxPopulation
Meroë,https://en.wikipedia.org/wiki/Mero%C3%AB,16.935138888,33.75075,-2500,,
Assur,https://en.wikipedia.org/wiki/Assur,35.456666666,43.2625,-2499,,
Abarsal,https://en.wikipedia.org/wiki/Abarsal,36.113054,38.000883,-2419,,
Lothal,https://en.wikipedia.org/wiki/Lothal,22.521388888,72.249444444,-2399,,
Babylon,https://en.wikipedia.org/wiki/Babylon,32.5425,44.421111111,-2200,,
Nazareth,https://en.wikipedia.org/wiki/Nazareth,32.702102777,35.29785,-2199,,
Sicyon,https://en.wikipedia.org/wiki/Sicyon,37.984104,22.711145,-2000,,
Uplistsikhe,https://en.wikipedia.org/wiki/Uplistsikhe,41.966664,44.207505,-2000,,
Tell Ubeidiya,"https://en.wikipedia.org/wiki/Ubeidiya,_Tiberias",32.688888888,35.561666666,-2000,,
Thebes,"https://en.wikipedia.org/wiki/Thebes,_Greece",38.320833333,23.317777777,-2000,,
Najran,https://en.wikipedia.org/wiki/Najran,17.4917,44.1322,-1999,,
Homs,https://en.wikipedia.org/wiki/Homs,34.733333333,36.716666666,-1999,,
Bareq,https://en.wikipedia.org/wiki/Bareq,18.9322222,41.9438889,-1999,,
Sabadell,https://en.wikipedia.org/wiki/Sabadell,41.548333333,2.1075,-1799,,
Rhodes,https://en.wikipedia.org/wiki/Rhodes,36.17,27.92,-1600,,
Gaza City,https://en.wikipedia.org/wiki/Gaza_City,31.5075,34.459722222,-1500,,
Thermos,https://en.wikipedia.org/wiki/Thermos_(Aetolia),38.559853,21.668664,-1499,,
Asilah,https://en.wikipedia.org/wiki/Asilah,35.466666666,-6.033333333,-1499,,
Nakhchivan,https://en.wikipedia.org/wiki/Nakhchivan_(city),39.208888888,45.412222222,-1499,,
Acre,"https://en.wikipedia.org/wiki/Acre,_Israel",32.926111111,35.083888888,-1499,,
Adulis,https://en.wikipedia.org/wiki/Adulis,15.263611111,39.660555555,-1449,,
Irbid,https://en.wikipedia.org/wiki/Irbid,32.555555555,35.85,-1399,,
Amarna,https://en.wikipedia.org/wiki/Amarna,27.661666666,30.905555555,-1352,,
Tarḫuntašša,https://en.wikipedia.org/wiki/Tar%E1%B8%ABunta%C5%A1%C5%A1a,36.86666667,33.16666667,-1294,,
Pithom,https://en.wikipedia.org/wiki/Pithom,30.551944444,32.098611111,-1277,,
Pi-Ramesses,https://en.wikipedia.org/wiki/Pi-Ramesses,30.79937,31.834217,-1277,,
Alba Longa,https://en.wikipedia.org/wiki/Alba_Longa,41.74691,12.65026,-1200,,
Idalion,https://en.wikipedia.org/wiki/Idalion,35.015833333,33.423055555,-1200,,
Padua,https://en.wikipedia.org/wiki/Padua,45.407777777,11.873333333,-1182,,
Soli,"https://en.wikipedia.org/wiki/Soli,_Cyprus",35.1404,32.8126,-1100,,
Colophon,https://en.wikipedia.org/wiki/Colophon_(city),38.11555556,27.14222222,-1100,,
Salamis,"https://en.wikipedia.org/wiki/Salamis,_Cyprus",35.183333333,33.9,-1100,,
Miletus,https://en.wikipedia.org/wiki/Miletus,37.531111,27.275556,-1100,,
Endor,https://en.wikipedia.org/wiki/Endor_(village),32.65619722,35.46709722,-1100,,
Halicarnassus,https://en.wikipedia.org/wiki/Halicarnassus,37.037778,27.424167,-1099,,
Elis,https://en.wikipedia.org/wiki/Elis_(city),37.892222222,21.374444444,-1099,,
Knidos,https://en.wikipedia.org/wiki/Knidos,36.685833,27.375,-1099,,
Kourion,https://en.wikipedia.org/wiki/Kourion,34.6642,32.8877,-1050,,
Fenghao,https://en.wikipedia.org/wiki/Fenghao,34.21,108.72,-1050,,
Wangcheng,https://en.wikipedia.org/wiki/Wangcheng_(Zhou_dynasty),34.66768,112.41452,-1020,,
Lapathus,https://en.wikipedia.org/wiki/Lapathus_(Cyprus),35.35583333,33.19555556,-1000,,
Ephesus,https://en.wikipedia.org/wiki/Ephesus,37.939722,27.348611,-1000,,
Eleutheropolis,https://en.wikipedia.org/wiki/Eleutheropolis,31.613097,34.898297,-1000,,
Nokalakevi,https://en.wikipedia.org/wiki/Nokalakevi,42.35722222,42.19388889,-1000,,
